DO;ANO;MES;DIA;PARTE;LINHA;ACAO;TEXTO
DO;2023;01;01;ParteIExtra;36;NOMEAR;NOMEAR NICOLA MOREIRA MICCIONE, ID FUNCIONAL No 5113757-7, para exercer, com validade a contar de 01 de janeiro de 2023, o cargo em comissao de Secretario de Estado, simbolo SE, da Secretaria de Estado da Casa Civil. Processo no SEI150001/029479/2022.
DO;2023;01;01;ParteIExtra;42;NOMEAR;NOMEAR RODRIGO DA SILVA BACELLAR, ID FUNCIONAL No 4369178-1, para exercer, com validade a contar de 01 de janeiro de 2023, o cargo em comissao de Secretario de Estado, simbolo SE, da Secretaria de Estado de Governo. Processo no SEI150001/029479/2022.
DO;2023;01;01;ParteIExtra;48;NOMEAR;NOMEAR RODRIGO RATKUS ABEL, ID FUNCIONAL No 4275217-5, para exercer, com validade a contar de 01 de janeiro de 2023, o cargo em comissao de Secretario de Estado, simbolo SE, da Secretaria de Estado do Gabinete do Governador. Processo no SEI150001/029479/2022.
DO;2023;01;01;ParteIExtra;54;NOMEAR;NOMEAR NELSON MONTEIRO DA ROCHA, ID FUNCIONAL No 5564544-1, para exercer, com validade a contar de 01 de janeiro de 2023, o cargo em comissao de Secretario de Estado, simbolo SE, da Secretaria de Estado de Planejamento e Gestao. Processo no SEI150001/029479/2022.
DO;2023;01;01;ParteIExtra;60;NOMEAR;NOMEAR LEONARDO LOBO PIRES, ID FUNCIONAL No 5097684-2, para exercer, com validade a contar de 01 de janeiro de 2023, o cargo em comissao de Secretario de Estado, simbolo SE, da Secretaria de Estado de Fazenda. Processo no SEI-150001/029479/2022.
DO;2023;01;01;ParteIExtra;66;NOMEAR;NOMEAR VINICIUS MEDEIROS FARAH, ID FUNCIONAL No 5087333-4, para exercer, com validade a contar de 01 de janeiro de 2023, o cargo em comissao de Secretario de Estado, simbolo SE, da Secretaria de Estado de Desenvolvimento Economico, Industria e Comercio. Processo no SEI-150001/029479/2022.
DO;2023;01;01;ParteIExtra;72;NOMEAR;NOMEAR HUGO LEAL MELO DA SILVA para exercer, com validade a contar de 01 de janeiro de 2023, o cargo em comissao de Secretario de Estado, simbolo SE, da Secretaria de Estado de Oleo, Gas e Energia, em vaga prevista pelo Decreto no 48.301, de 01/01/2023. Processo no SEI-150001/029479/2022.
DO;2023;01;01;ParteIExtra;85;NOMEAR;NOMEAR FERNANDO ANTONIO PAES DE ANDRADE ALBUQUERQUE, Delegado de Policia, ID Funcional no 2977056-4, para exercer, com validade a contar de 01 de janeiro de 2023, o cargo em comissao de Secretario de Estado, simbolo SE, da Secretaria de Estado de Policia Civil.
DO;2023;01;01;ParteIExtra;91;NOMEAR;NOMEAR MARIA ROSA LO DUCA NEBEL, ID FUNCIONAL No 1963336-0, Inspetor de Policia Penal, para exercer, com validade a contar de 01 de janeiro de 2023, o cargo em comissao de Secretario de Estado, simbolo SE, da Secretaria de Estado de Administracao Penitenciaria. Processo no SEI-150001/029479/2022.
DO;2023;01;01;ParteIExtra;97;NOMEAR;NOMEAR LEANDRO SAMPAIO MONTEIRO, ID FUNCIONAL No 613044-5, Coronel BM, para exercer, com validade a contar de 01 de janeiro de 2023, o cargo em comissao de Secretario de Estado e Comandante Geral do CBMERJ, simbolo SE, da Secretaria de Estado de Defesa Civil. Processo no SEI-150001/029479/2022.
