DO;ANO;MES;DIA;PARTE;LINHA;ACAO;TEXTO
DO;2023;01;03;ParteIExtra;31;NOMEAR;NOMEAR RICARDO MARCELO DA SILVA, ID FUNCIONAL No 4459432-1, para exercer o cargo em comissao de Diretor, simbolo VP-1, da Diretoria de Pos-Licenca, do Instituto Estadual do Ambiente - INEA, da Secretaria de Estado do Ambiente e Sustentabilidade, anteriormente ocupado por Sergio Henrique Mantovani, ID funcional no5114231-7. Processo no SEI-070002/015491/2022.
DO;2023;01;03;ParteIExtra;32;NOMEAR;NOMEAR JULIA KISHIDA BOCHNER, ID FUNCIONAL No 4347935-9, para exercer o cargo em comissao de Diretor, simbolo VP-1, da Diretoria de Biodiversidade, Areas Protegidas e Ecossistemas, do Instituto Estadual do Ambiente - INEA, da Secretaria de Estado do Ambiente e Sustentabilidade, anteriormente ocupado por Leandro Luiz de Jesus Gomes, ID Funcional no 5115434-0. Processo no SEI070002/015486/2022.
DO;2023;01;03;ParteIExtra;33;NOMEAR;NOMEAR CAUE BIELSCHOWSKY, ID FUNCIONAL No 4359412-3, para exercer o cargo em comissao de Diretor, simbolo VP-1, da Diretoria de Seguranca Hidrica e Qualidade Ambiental, do Instituto Estadual do Ambiente - INEA, da Secretaria de Estado do Ambiente e Sustentabilidade, anteriormente ocupado por Helio Vanderlei Coelho Filho, ID Funcional n 51061643. Processo no SEI070002/015486/2022.
DO;2023;01;03;ParteIExtra;34;NOMEAR;NOMEAR PAULO CARDOSO DE ALMEIDA FILHO, ID FUNCIONAL No 4401465-1, para exercer o cargo em comissao de Superintendente, simbolo VP-2, da Superintendencia Geral das Regionais, da Presidencia, do Instituto Estadual do Ambiente - INEA, da Secretaria de Estado do Ambiente e Sustentabilidade, anteriormente ocupado por Marcelo Barreto da Silva, ID Funcional n 21935467. Processo no SEI070002/015486/2022.
DO;2023;01;04;ParteI;105;NOMEAR;NOMEAR ENEIDA FERREIRA DA SILVA PAZ, para exercer o cargo em comissao de Vice-Presidente, simbolo VP-1, da Vice-Presidencia, do Departamento de Transportes Rodoviarios do Estado do Rio de Janeiro - DETRO/RJ, da Secretaria de Estado de Transporte e Mobilidade Urbana, anteriormente ocupado por Marcelo Pereira Alves, ID Funcional no 595685-4. Processo no SEI-100005/000006/2023.
DO;2023;01;06;ParteI;108;NOMEAR;NOMEAR GLADSTONE FELIPPO SANTANA, ID FUNCIONAL N 5106656-4, para exercer, com validade a contar de 05 de janeiro de 2023, o cargo em comissao de Vice-Presidente, simbolo VP-1, da Fundacao Departamento de Estradas de Rodagem do Estado do Rio de Janeiro - DER-RJ, da Secretaria de Estado de Infraestrutura e Cidades, anteriormente ocupado por Mauro Gomes Valverde ID Funcional N5097915-9. Processo no SEI-460001/000004/2023. Id: 2450533
DO;2023;01;06;ParteIExtra;417;NOMEAR;NOMEAR GLEICE D'LURDES GONCALVES DE AMORIM, ID FUNCIONAL No 5104654-7, para exercer, com validade a contar de 05 de janeiro de 2023, o cargo em comissao de Diretor, simbolo VP-1, da Diretoria de Obras e Conservacao - Regional I, da Fundacao Departamento de Estradas de Rodagem do Estado do Rio de Janeiro - DER-RJ, da Secretaria de Estado de Infraestrutura e Cidades, anteriormente ocupado por Newton Rodrigues Moreira Junior, ID Funcional n 4373579-7. Processo no SEI-330022/000041/2023.
DO;2023;01;06;ParteIExtra;420;NOMEAR;NOMEAR ANA CRISTINA SOARES DAMY DOS SANTOS TELES, ID Funcional no 51078155-5, para exercer e com validade de 05 de janeiro de 2023, o cargo em comissao de Corregedor Geral, simbolo VP-2, da Fundacao Departamento de Estradas de Rodagem do Estado do Rio de Janeiro - DER-RJ, da Secretaria de Estado de Infraestrutura e Cidades, em vaga resultante da transformacao estabelecida pelo Decreto no 48.307, de 06/01/2023. Processo no SEI330022/000041/2023.
DO;2023;01;06;ParteIExtra;422;NOMEAR;NOMEAR NEWTON RODRIGUES MOREIRA JUNIOR, ID FUNCIONAL N 4373579-7, para exercer, com validade a contar de 05 de janeiro de 2023, o cargo em comissao de Diretor, simbolo VP-1, da Diretoria de Obras e Conservacao - Regional III, da Fundacao Departamento de Estradas de Rodagem do Estado do Rio de Janeiro - DER-RJ, da Secretaria de Estado de Infraestrutura e Cidades, anteriormente ocupado por Luiz Antonio Ramos Sumar, ID Funcional n 5119782-0. Processo no SEI-330022/000041/2023.
DO;2023;01;10;ParteI;290;NOMEAR;NOMEAR NACIBE HUARDE RIBEIRO CADE, para exercer, com validade a contar de 29 de dezembro de 2022, o cargo em comissao de Assessor Especial, simbolo VP-2, da Loteria do Estado do Rio de Janeiro - LOTERJ, da Secretaria de Estado da Casa Civil, anteriormente ocupado por Gabrielle Reinoso Ferreira, ID Funcional no 51270692. Processo no SEI-150162/000672/2022.
